id,title,altered_context,altered_question,answer,is_impossible
56d43c5f2ccc5a1400d830aa,بيونس,Beyoncé Giselle Knowles-Carter (/biː&#39;jɒnseɪ/ bee-YON-say) (پيدائش سيپٽمبر 4، 1981) هڪ آمريڪي ڳائڻي، موسيقار، رڪارڊ پروڊيوسر، ۽ اداڪاره آهي. هوسٽن، ٽيڪساس ۾ پرورش ڪئي، هن پنهنجي ننڍپڻ دوران ڳائڻ ۽ ناچ جي مختلف مقابلن ۾ حصو ورتو ۽ 1990 جي ڏهاڪي جي آخر ۾ R&amp;B گرل گروپ ڊيسٽني چائلڊ جي معروف ڳائڻي جي حيثيت ۾ نمايان حيثيت حاصل ڪئي. گروپ، سندس پيء، ميٿيو نولس پاران منظم ڪيو ويو، عالمي سطح تي سڀ کان ڪامياب ڇوڪرين جي گروپن مان هڪ بڻجي ويو. انهن جي وقفي سبب بيونس جي پهرين البم، ڊينجرسلي ان لو (2003) جي رليز ٿيڻ جو سبب بڻيو، جنهن بين الاقوامي سطح تي هڪ سولو پرفارمر جي حيثيت سان سندس حيثيت کي مضبوط ڪيو، پنج گريمي ايوارڊ ماڻيا، ۽ بلبورڊ هاٽ 100 نمبر-ون هٽ ڪرزي ان لو ۽ بيبي بوائي شامل آهن.,بيونسي ڪهڙي حيثيت رکي ٿي تقدير جي ٻار ۾؟,اڳواڻي ڳائڻي,False
56bf6e823aeaaa14008c9629,بيونس,جون 2005 ۾ Destiny&#39;s Child جي ختم ٿيڻ کان پوءِ، هن پنهنجو ٻيو سولو رڪارڊ، B&#39;Day (2006) جاري ڪيو، جنهن ۾ ڊيجا وو، Irreplaceable، ۽ Beautiful Liar شامل هئا. بيونس پڻ هڪ اداڪاري ڪيريئر شروع ڪيو، جنهن کي نمايان ڪيو گولڊن گلوب پاران نامزد ڪيل ڪردار ڊريم گرلز (2006) ۾، ان سان گڏ دي پنڪ پينٿر (2006) ۽ آبسيسڊ (2009) ۾ نمايان نمايان نموني سان. ريپر جي زي سان سندس اتحاد ۽ ڪيڊيلڪ رڪارڊز (2008) ۾ ايٽا جيمس جي تصويرن سندس ٽيون البم، آء ايم... ساشا فيرس (2008) کي شڪل ڏني، جنهن هن جي بدليل ايگو ساشا فيرس کي متعارف ڪرايو ۽ هڪ رڪارڊ ٽوڙي ڇهه گريمي حاصل ڪئي. &quot;&quot;2010&quot; ۾ اوارڊ، جنهن ۾ سنگل عورتن لاءِ سال جو معزز گانا شامل آهي (ان تي هڪ انگو لڳايو). Beyoncé 2010 ۾ موسيقيءَ کان وقفو ورتو ۽ پنھنجي ڪيريئر تي مڪمل ڪنٽرول سنڀاليو؛ هن جو چوٿون البم 4 (2011) بعد ۾ 1970ع جي فنڪ، 1980ع واري پاپ ۽ 1990ع جي روح جي دائري ۾ گهيريل هو. هن جي وڏي پيماني تي ساراهيو ويو پنجين اسٽوڊيو رڪارڊ، بيونسي (2013)، ان جي جديد پيداوار ۽ وڌيڪ سنجيده موضوعن جي امتحان سان منسوب ڪيو ويو.,ڪهڙي سال ۾ بيونس پنهنجي ڪيريئر کي روڪيو ۽ انتظام جي ذميواري قبول ڪئي؟,2010,False
56d43f7e2ccc5a1400d830cb,بيونس,بيونسي، جيڪو هڪ همعصر فيمينسٽ طور سڃاتو وڃي ٿو، موسيقي پيدا ڪري ٿي جيڪا اڪثر موضوعن کي ڳوليندي آهي جهڙوڪ پيار، ڀائيواري، ۽ خاصيت، عورتن جي جنسيت ۽ بااختيارگي جي موضوعن سان گڏ. اسٽيج تي، هن جي متحرڪ ۽ محتاط انداز سان ڪوريوگراف ٿيل شوز مبصرن کي هن جي تعريف ڪرڻ جي هدايت ڪئي آهي ته جيئن هن کي جديد مقبول ميوزڪ ۾ بهترين اداڪارين مان هڪ آهي. 19 سالن جي ڪيريئر دوران، هن هڪ سولو آرٽسٽ جي حيثيت سان 118 ملين کان وڌيڪ رڪارڊ وڪڻيا آهن، ان کان علاوه Destiny&#39;s Child سان گڏ 60 ملين کان وڌيڪ رڪارڊ، تاريخ ۾ سڀ کان وڌيڪ وڪرو ٿيندڙ ميوزڪ اداڪارن جي حيثيت سان هن جي حيثيت کي مضبوط ڪيو. هن کي 20 گريمي ايوارڊ ملي چڪا آهن ۽ اعزازن جي تاريخ ۾ سڀ کان وڌيڪ نامزد ٿيل عورت طور سڃاتو وڃي ٿو. آمريڪا جي رڪارڊنگ انڊسٽري ايسوسيئيشن هن کي 2000 جي ڏهاڪي دوران آمريڪا ۾ مٿين سرٽيفائيڊ آرٽسٽ طور تسليم ڪيو. 2009 ۾، بلبورڊ هن کي ڏهاڪي جي ٽاپ ريڊيو گانا آرٽسٽ، 2000 جي ٽاپ فيمل آرٽسٽ، ۽ 2011 ۾، هن کي پنهنجي آرٽسٽ آف دي ملينيم جي اعزاز سان نوازيو. ٽائم هن کي 2013 ۽ 2014 ٻنهي ۾ عالمي سطح تي 100 بااثر شخصيتن جي لسٽ ۾ شامل ڪيو. ”فوربز“ ميگزين پڻ هن کي 2015 جي سڀ کان وڌيڪ بااثر خاتون ميوزڪ آرٽسٽ طور تسليم ڪيو.,ڪهڙي اشاعت بيونسي کي سال 2015 لاءِ سڀ کان وڌيڪ بااثر خاتون موسيقار طور تسليم ڪيو؟,فوربس,False
56be8a583aeaaa14008c9097,بيونس,بيونسي فريڊرڪسبرگ، ٽيڪساس ۾ واقع سينٽ ميري جي ايليمينٽري اسڪول ۾ شرڪت ڪئي، جتي هن ڊانس جي سبقن ۾ حصو ورتو. هن جي آواز جي قابليت کي تسليم ڪيو ويو جڏهن ڊانس جي استاد ڊارليٽ جانسن هڪ راڳ ڳائڻ شروع ڪيو ۽ هن ان کي مڪمل ڪيو، اعلي نوٽس تائين پهچڻ جي قابل. موسيقي ۽ ڪارڪردگيءَ لاءِ بيونس جو شوق 7 سالن جي عمر ۾ اسڪول ۾ هڪ ٽيلنٽ مقابلو کٽڻ کان پوءِ برقرار رهيو، جان لينن جي اميجن کي ڳائڻ لاءِ 15 ۽ 16 سالن جي عمر وارن ماڻهن کي ڀيٽا ڏيڻ لاءِ. هوسٽن ۾، جتي هوءَ اسڪول جي ڪوئر سان گڏ ڳائيندي. هوءَ پرفارمنگ ۽ بصري آرٽس لاءِ هاءِ اسڪول ۾ پڻ وئي ۽ بعد ۾ عليف ايلسڪ هاءِ اسڪول ۾ شرڪت ڪئي. اضافي طور تي، بيونسي سينٽ جانز يونائيٽيڊ ميٿوڊسٽ چرچ ۾ ڪوئر جو حصو هو، ٻن سالن تائين هڪ سولوسٽ جي حيثيت سان خدمت ڪري رهيو هو.,ڪهڙي شهر ۾ بيونس پنهنجي ابتدائي ايليمينٽري اسڪول ڇڏڻ کان پوءِ لڏي وئي؟,هوسٽن,False
56d45abf2ccc5a1400d830e6,بيونس,اٺن سالن جي عمر ۾، بيونسي ۽ سندس ننڍپڻ جي ساٿي ڪيلي رولينڊ جو مقابلو لا ٽيويا رابرسن سان ٿيو، هڪ آڊيشن دوران سڀني عورتن جي تفريح لاءِ. انهن کي گرلس ٽائم نالي ٽن اضافي ڇوڪرين سان گڏ هڪ اجتماعي طور تي رکيو ويو، ۽ انهن هوسٽن ۾ ٽيلنٽ شو سرڪٽ تي ريپ ۽ ڊانس جي معمول کي انجام ڏنو. گروپ جي شاھدي ڏيڻ کان پوء، آر ۽ بي جي پروڊيوسر آرن فريجر کين اتر ڪيليفورنيا ۾ پنھنجي اسٽوڊيو ڏانھن دعوت ڏني ۽ انھن کي اسٽار سرچ ۾ داخل ڪيو، ان وقت قومي ٽيليويزن تي سڀ کان وڏو ٽيلنٽ مقابلو. گرل ٽائم کٽڻ ۾ ڪامياب نه ٿيو، ۽ بيونسي بعد ۾ ٻڌايو ته گيت جيڪي ڏيکاريا ويا اهي سبپار هئا. 1995 ۾، بيونسي جي پيء کي گروپ جي نگراني ڪرڻ لاء پنهنجي پوزيشن تان هٽايو ويو. اهو فيصلو بيونسي جي خاندان جي آمدني کي اڌ ڪري ڇڏيو، هن جي والدين کي الڳ رهائشن ۾ منتقل ٿيڻ جي هدايت ڪئي. ميٿيو شروعاتي لائين اپ کي چار ميمبرن تائين گھٽائي ڇڏيو، ۽ گروپ ٻين قابل ذڪر R&amp;B ڇوڪرين جي گروپن لاء افتتاحي عمل جي طور تي انجام ڏيڻ جاري رکي. ڇوڪرين رڪارڊ ليبلز جي سامهون آڊيشن ڏنو ۽ آخرڪار اليڪٽرا رڪارڊز سان سائن ڪيو، مختصر طور تي ائٽلانتا رڪارڊس ڏانهن منتقل ٿي انهن جي شروعاتي رڪارڊنگ تي ڪم ڪرڻ لاءِ، صرف ليبل ذريعي ڇڏڻ لاءِ. هن خاندان تي اضافي دٻاء پيدا ڪيو، بيونسي جي والدين جي جدائي جي ڪري. 5 آڪٽوبر، 1995 تي، ڊيوائن ويگنس جي گراس روٽ تفريح تي دستخط ڪيو. 1996 تائين، ڇوڪرين سوني ميوزڪ سان هڪ معاهدي تحت پنهنجو پهريون البم رڪارڊ ڪرڻ شروع ڪيو، نولس خاندان ۾ صلح ٿي وئي، ۽ ان کان پوءِ جلد ئي، گروپ ڪولمبيا ريڪارڊز سان هڪ معاهدو ڪيو.,شروعاتي گروپ جو عنوان ڇا هو جنهن ۾ بيونس شامل ٿيو؟,ڇوڪريءَ جو ٽائيم,False
56d45fcb2ccc5a1400d830fd,بيونس,"1996 ۾ ان جو نالو ڊسٽني جي چائلڊ ۾ تبديل ڪيو ويو، جيڪو يسعياه جي ڪتاب جي هڪ آيت مان نڪتل آهي. 1997 ۾، Destiny&#39;s Child پنهنجو اهم ليبل پهريون ٽريڪ Killing Time 1997 جي فلم مين ان بليڪ جي سائونڊ ٽريڪ جي حصي طور شروع ڪيو. ان کان پوءِ سال، مجموعن پنهنجو پهريون پهريون البم رليز ڪيو، جنهن پنهنجي پهرين وڏي ڪاميابي سان No, No, No سان حاصل ڪئي. هن البم گروپ کي موسيقي جي منظر ۾ هڪ قابل اعتبار عمل جي طور تي مضبوط ڪيو، وچولي وڪرو مان لطف اندوز ٿيو ۽ انهن کي ٽي سول ٽرين ليڊي ڪمايو. سال جو بهترين آر اينڊ بي/سول البم، بهترين آر اينڊ بي/سول يا ريپ نيو آرٽسٽ، ۽ بهترين آر اينڊ بي/سول سنگل لاءِ سول ايوارڊز لاءِ نه، نه، نه. ان ملٽي پلاٽينم جو ٻيو البم The Writing&#39;s on the Wall 1999ع ۾ شروع ڪيو. البم ۾ گروپ جا ڪجهه مشهور ٽريڪ شامل آهن جهڙوڪ بلز، بلز، بلز، جيڪو سندن پهريون نمبر-ون هٽ هو، ان سان گڏ جمپن &#39;جمپين&#39; ۽ منهنجو نالو چئو، جيڪو ان وقت سندن سڀ کان وڌيڪ خوشحال ٽريڪ ثابت ٿيو، ۽ انهن جي مشهور گيتن مان هڪ رهندو. Say My Name 43 هين سالياني گريمي ايوارڊز ۾ هڪ Duo يا گروپ پاران بهترين R&amp;B پرفارمنس لاءِ ووڪلز ۽ بهترين R&amp;B گيت لاءِ ايوارڊ حاصل ڪيا. The Writing&#39;s on the Wall عالمي سطح تي اٺ لک کان وڌيڪ ڪاپيون وڪرو ٿيون. هن عرصي دوران، بيونسي هڪ ڊائيٽ تي ڪم ڪيو، مارڪ نيلسن سان، بوائز II مين جو اصل ميمبر، 1999 جي فلم، دي بيسٽ مين جي سائونڊ ٽريڪ لاءِ ٽريڪ آف آل ايز سيڊ اينڊ ڊن پرفارم ڪيو.",ڪنهن سان بيونسي فلم ’دي بيسٽ مين‘ لاءِ ڊائيٽ تي تعاون ڪيو؟,مارڪ نيلسن,False
56be8e353aeaaa14008c90c6,بيونس,"بئنڊ جي ٻين ميمبرن آزاد عورتن جو حصو I رڪارڊ ڪيو، جيڪو 2000 جي فلم چارليز اينجلس جي سائونڊ ٽريڪ ۾ شامل ڪيو ويو. اهو سندن سڀ کان ڪامياب سنگل بڻجي ويو، يو ايس بل بورڊ هاٽ 100 چارٽ جي چوٽي تي يارنهن سڌا هفتن تائين. 2001 جي شروعات ۾، جڏهن Destiny&#39;s Child پنهنجي ٽئين البم کي فائنل ڪري رهيو هو، بيونسي ٽي وي لاءِ ٺاهيل MTV فلم، ڪارمين: اي هپ هوپيرا ۾ اهم ڪردار نڀايو، جنهن ۾ آمريڪي اداڪار ميخي فيفر سان گڏ پرفارم ڪيو. فلاڊيلفيا ۾ قائم، فلم فرانسيسي موسيقار جارجس بيزٽ جي 19 صدي جي اوپيرا ڪارمين جو هڪ همعصر نسخو آهي. جڏهن ٽيون البم سروائيور مئي 2001 ۾ شروع ڪيو ويو، لوڪيٽ ۽ رابرسن هڪ مقدمو شروع ڪيو ته اهو زور ڀريو ته گيت انهن تي هدايت ڪئي وئي هئي. البم يو ايس بل بورڊ 200 تي پهرين نمبر تي پريميئر ٿيو، پهرين هفتي 663,000 يونٽن جي وڪرو سان. البم پڻ ٻيون چارٽ-ٽاپنگ هٽ، بوٽيليليس ۽ ٽائيٽل گانا، سروائيور پيدا ڪيا، جن ۾ بعد ۾ گروپ کي گريمي انعام ڏنو ويو بهترين R&amp;B پرفارمنس لاءِ هڪ Duo or Group with Vocals. آڪٽوبر 2001 ۾ سندن تہوار البم 8 ڊيز آف ڪرسمس شروع ڪرڻ کان پوءِ، گروپ انفرادي ڪيريئر کي وڌيڪ وسيع ڪرڻ لاءِ وقفي جو اعلان ڪيو.",بئنڊ ميمبرن مان ڪهڙو سنگل &#39;چارليز اينجلس&#39; لاءِ سائونڊ ٽريڪ جو حصو هو؟,آزاد عورتون حصو I,False
56bf91c6a10cfb140055117f,بيونس,&quot;نومبر 2003&quot; ۾، هن يورپ ۾ ڊينجرسلي ان لو ٽور جي شروعات ڪئي ۽ بعد ۾ اتر آمريڪا ۾ ويريزون ليڊيز فرسٽ ٽور لاءِ مسي ايليوٽ ۽ ايليسيا ڪيز سان گڏ پرفارم ڪيو. فيبروري 1، 2004 تي، بيونس آمريڪي قومي ترانو ڳايو سپر باؤل XXXVIII ۾، ريلينٽ اسٽيڊيم هوسٽن، ٽيڪساس ۾ منعقد ٿيو. Dangerously in Love جي شروعات کان پوءِ، بيونس جو ارادو ڪيو ته ايندڙ البم ٺاهي ڪيترن ئي غير استعمال ٿيل ٽريڪن سان.  بهرحال، اهو ملتوي ڪيو ويو ان ڪري هوءَ ڊيسٽني فلفلڊ جي رڪارڊنگ تي توجه ڏئي سگهي ٿي، ڊيسٽني چائلڊ جو حتمي اسٽوڊيو البم. 15 نومبر 2004 تي رليز ٿيو، يو ايس ۾ ۽ بل بورڊ 200 تي ٻئين نمبر جي چوٽي واري پوزيشن حاصل ڪري، ڊيسٽني فل فلڊ ۾ سنگلز لوز مائي برٿ اينڊ سولجر کي شامل ڪيو ويو، جيڪو بلبورڊ هاٽ 100 چارٽ تي مٿين پنجن نمبرن تي اچي ويو. Destiny&#39;s Child هڪ عالمي ڪنسرٽ ٽور شروع ڪيو، Destiny Fulfilled... and Lovin&#39; It، ۽ 11 جون 2005 تي بارسلونا ۾ پنهنجي يورپي دوري جي آخري اسٽاپ دوران، رولينڊ انڪشاف ڪيو ته Destiny&#39;s Child جي اتر آمريڪا جي پيرن جي پٺيان ختم ٿي ويندو. دورو. گروپ پنهنجو افتتاحي تالیف البم نمبر 1 25 آڪٽوبر 2005 تي آمريڪا ۾ شروع ڪيو ۽ مارچ 2006 ۾ هالي ووڊ جي واک آف فيم تي هڪ اسٽار حاصل ڪيو.,ڪهڙي سال ۾ بيونس پنهنجي خطرناڪ طور تي يورپ ۾ محبت جو دورو شروع ڪيو؟,نومبر-03,False
56d4baf92ccc5a1400d8317e,بيونس,نومبر 2003 ۾، هن يورپ ۾ ڊينجرسلي ان لو ٽور جي شروعات ڪئي ۽ بعد ۾ اتر آمريڪا ۾ ويرزون ليڊيز فرسٽ ٽور لاءِ مسي ايليوٽ ۽ ايليسيا ڪيز سان گڏ پرفارم ڪيو. فيبروري 1، 2004 تي، بيونس آمريڪي قومي ترانو &quot;سپر باؤل XXXVIII&quot; ۾، هوسٽن، ٽيڪساس ۾ ريلينٽ اسٽيڊيم ۾ منعقد ڪيو. Dangerously in Love جي لانچ کان پوءِ، بيونسي جو ارادو هو ته هڪ سيڪوئل البم ٺاهي ڪيترن ئي باقي ٽريڪز کي استعمال ڪندي.  ان جي باوجود، اهو ملتوي ڪيو ويو ته جيئن هوء رڪارڊنگ تي ڌيان ڏئي سگهي Destiny Fulfilled، آخري اسٽوڊيو البم Destiny&#39;s Child پاران. 15 نومبر 2004 تي آمريڪا ۾ رليز ٿيو ۽ بل بورڊ 200 تي ٻئي نمبر تي پهچي، ڊيسٽني فلفلڊ ۾ لوز مائي بريٿ ۽ سولجر کي شامل ڪيو ويو، اهي ٻئي بل بورڊ هاٽ 100 چارٽ تي مٿين پنجن نمبرن تي اچي ويا. Destiny&#39;s Child هڪ عالمي ڪنسرٽ ٽور شروع ڪيو، Destiny Fulfilled... and Lovin&#39; It، ۽ 11 جون 2005 تي بارسلونا ۾ پنهنجي يورپي دوري جي آخري اسٽاپ دوران، رولينڊ اعلان ڪيو ته ڊسٽيني چائلڊ ٽور جي اتر آمريڪي حصي کان پوءِ ختم ٿي ويندو. . هن گروپ پنهنجو پهريون مرتب ڪيل البم نمبر 1 25 آڪٽوبر 2005 تي آمريڪا ۾ شروع ڪيو ۽ مارچ 2006 ۾ هالي ووڊ جي واک آف فيم تي هڪ اسٽار حاصل ڪيو.,ڪهڙي اهم موقعي تي بيونسي 1 فيبروري 2004 تي ڳايو؟,سپر باؤل XXXVIII,False
56be95823aeaaa14008c910f,بيونس,"4 اپريل 2008 تي، بيونس جي شادي جي زيڊ سان ٿي. ھن پنھنجي ٽيون اسٽوڊيو البم، آء ايم... ساشا فيرس، 22 آڪٽوبر تي مينهٽن جي سوني ڪلب ۾ منعقد ڪيل رليز تقريب ۾ ھڪ وڊيو ڪمپيليشن ۾ پنھنجي اتحاد کي عام ڪيو. 2008. I Am... ساشا فيرس 18 نومبر 2008 تي آمريڪا ۾ ڊيبيو ڪيو. البم رسمي طور متعارف ڪرايو بيونس جي بدليل شخصيت ساشا فيرس، جيڪا هن جي 2003 جي هٽ ڪرزي ان لو جي پروڊڪشن دوران تيار ڪئي وئي هئي، ان جي شروعاتي هفتي ۾ 482,000 ڪاپيون وڪرو ٿيون، بل بورڊ 200 جي چوٽي تي ڊيبيو ڪندي، آمريڪا ۾ بيونس جي مسلسل ٽئين نمبر-ون البم کي نشانو بڻايو.  البم ۾ چارٽ-ٽاپنگ ٽريڪ سنگل ليڊيز (پٽ اي رِنگ آن اٽ) ۽ ان سان گڏ ٽاپ فائيو هٽ If I Were a Boy and Halo شامل هئا. هن جي سڄي ڪيريئر ۾ سڀ کان وڌيڪ ڊگهي گرم 100 سنگل هجڻ جو اعزاز حاصل ڪندي، آمريڪا ۾ هيلو جي ڪاميابي بيونسي کي 2000 جي ڏهاڪي دوران ڪنهن به ٻئي عورت فنڪار جي ڀيٽ ۾ چارٽ تي وڌيڪ ٽاپ ٽين سنگلز حاصل ڪرڻ جي قابل بڻايو. اضافي طور تي، هن ۾ مشهور مٺي خوابن سان گڏ سنگلز ڊيوا، ايگو، ٽوڙيل دل واري ڇوڪري، ۽ وڊيو فون شامل آهن. سنگل ليڊيز لاءِ ميوزڪ وڊيو سڄي دنيا ۾ جعلسازي ڪئي وئي آهي ۽ نقل ڪئي وئي آهي، انٽرنيٽ جي دور جي پهرين اهم ڊانس جي رجحان کي شروع ڪندي، جيئن ٽورنٽو اسٽار پاران نوٽ ڪيو ويو آهي. وڊيو ڪيترائي ايوارڊ حاصل ڪيا، جن ۾ 2009 جي ايم ٽي وي يورپ ميوزڪ ايوارڊز ۾ بهترين وڊيو، 2009 اسڪاٽش MOBO اوارڊز، ۽ 2009 بي اي ٽي ايوارڊز شامل آهن. 2009 جي ايم ٽي وي وڊيو ميوزڪ ايوارڊز دوران، وڊيو کي نو نامزدگيون مليون، آخرڪار ٽي ايوارڊ ماڻيا، جن ۾ سال جو وڊيو پڻ شامل آهي.  بهترين عورت وڊيو جو ايوارڊ حاصل ڪرڻ ۾ ناڪامي، جيڪا آمريڪي ملڪ جي پاپ فنڪار ٽيلر سوئفٽ پاران حاصل ڪئي وئي سندس گاني يو بي لانگ ود مي لاءِ، نتيجي ۾ ڪني ويسٽ تقريب کي ٽوڙي ڇڏيو ۽ بيونسي پنهنجي قبوليت واري خطاب دوران سوئفٽ جي ايوارڊ کي ٻيهر پيش ڪرڻ جي ڪوشش ڪئي. . مارچ 2009 ۾، بيونسي I Am... ورلڊ ٽور شروع ڪيو، جيڪو سندس ٻيو عالمي ڪنسرٽ سيريز آهي، جنهن ۾ 108 پرفارمنس شامل آهن ۽ آمدني ۾ $119.5 ملين ڊالر شامل آهن.",ڪهڙي فنڪار بيونس کي بهترين وڊيو ايوارڊ لاءِ اڳتي وڌايو؟,ٽيلر سوفٹ,False
