id,title,original_context,altered_context,original_question,altered_question,answer,is_impossible
56d43c5f2ccc5a1400d830aa,Beyoncé,"[""Beyoncé Giselle Knowles-Carter (/biː'jɒnseɪ/ bee-YON-say) (born September 4, 1981) is an American singer, songwriter, record producer and actress. Born and raised in Houston, Texas, she performed in various singing and dancing competitions as a child, and rose to fame in the late 1990s as ••lead singer•• of R&B girl-group Destiny's Child. Managed by her father, Mathew Knowles, the group became one of the world's best-selling girl groups of all time. Their hiatus saw the release of Beyoncé's debut album, Dangerously in Love (2003), which established her as a solo artist worldwide, earned five Grammy Awards and featured the Billboard Hot 100 number-one singles Crazy in Love and Baby Boy.""]","[""Beyoncé Giselle Knowles-Carter (/biː'jɒnseɪ/ bee-YON-say) (born on September 4, 1981) is an American vocalist, composer, record producer, and actress. Raised in Houston, Texas, she took part in various singing and dancing contests during her childhood and gained prominence in the late 1990s as the ••leading vocalist•• of the R&B girl group Destiny's Child. The group, managed by her father, Mathew Knowles, became one of the most successful girl groups globally. Their break led to the release of Beyoncé's first album, Dangerously in Love (2003), which solidified her status as a solo performer internationally, won five Grammy Awards, and included the Billboard Hot 100 number-one hits Crazy in Love and Baby Boy.""]",What role did Beyoncé have in Destiny's Child?,What position did Beyoncé hold in Destiny's Child?,lead singer,FALSE
56bf6e823aeaaa14008c9629,Beyoncé,"[""Following the disbandment of Destiny's Child in June 2005, she released her second solo album, B'Day (2006), which contained hits Déjà Vu, Irreplaceable, and Beautiful Liar. Beyoncé also ventured into acting, with a Golden Globe-nominated performance in Dreamgirls (2006), and starring roles in The Pink Panther (2006) and Obsessed (2009). "", 'Her marriage to rapper Jay Z and portrayal of Etta James in Cadillac Records (2008) influenced her third album, I Am... Sasha Fierce (2008), which saw the birth of her alter-ego Sasha Fierce and earned a record-setting six Grammy Awards in ••2010••, including Song of the Year for Single Ladies (Put a Ring on It). Beyoncé took a hiatus from music in 2010 and took over management of her career؛ her fourth album 4 (2011) was subsequently mellower in tone, exploring 1970s funk, 1980s pop, and 1990s soul. Her critically acclaimed fifth studio album, Beyoncé (2013), was distinguished from previous releases by its experimental production and exploration of darker themes.']","[""After the dissolution of Destiny's Child in June 2005, she issued her second solo record, B'Day (2006), which featured hits Déjà Vu, Irreplaceable, and Beautiful Liar. Beyoncé also embarked on an acting career, highlighted by a Golden Globe-nominated role in Dreamgirls (2006), along with prominent appearances in The Pink Panther (2006) and Obsessed (2009)."", 'Her union with rapper Jay Z and her depiction of Etta James in Cadillac Records (2008) shaped her third album, I Am... Sasha Fierce (2008), which introduced her alter-ego Sasha Fierce and achieved a record-breaking six Grammy Awards in ••2010••, including the prestigious Song of the Year for Single Ladies (Put a Ring on It). Beyoncé took a break from music in 2010 and assumed full control of her career; her fourth album 4 (2011) was subsequently more subdued in tone, delving into the realms of 1970s funk, 1980s pop, and 1990s soul. Her widely praised fifth studio record, Beyoncé (2013), was characterized by its innovative production and examination of more somber themes.']",When did Beyonce take a hiatus in her career and take control of her management?,In which year did Beyonce pause her career and assume management responsibility?,2010,FALSE
56d43f7e2ccc5a1400d830cb,Beyoncé,"[""A self-described modern-day feminist, Beyoncé creates songs that are often characterized by themes of love, relationships, and monogamy, as well as female sexuality and empowerment. On stage, her dynamic, highly choreographed performances have led to critics hailing her as one of the best entertainers in contemporary popular music. Throughout a career spanning 19 years, she has sold over 118 million records as a solo artist, and a further 60 million with Destiny's Child, making her one of the best-selling music artists of all time. "", ""She has won 20 Grammy Awards and is the most nominated woman in the award's history. The Recording Industry Association of America recognized her as the Top Certified Artist in America during the 2000s decade. In 2009, Billboard named her the Top Radio Songs Artist of the Decade, the Top Female Artist of the 2000s and their Artist of the Millennium in 2011. Time listed her among the 100 most influential people in the world in 2013 and 2014. ••Forbes•• magazine also listed her as the most powerful female musician of 2015.""]","[""Beyoncé, who identifies as a contemporary feminist, produces music that frequently explores topics such as affection, partnerships, and exclusivity, alongside themes of female sexuality and empowerment. On stage, her vibrant and meticulously choreographed shows have led reviewers to acclaim her as one of the finest performers in modern popular music. Over a career that spans 19 years, she has sold more than 118 million records as a solo artist, in addition to another 60 million with Destiny's Child, solidifying her status as one of the top-selling music performers in history."", 'She has received 20 Grammy Awards and is recognized as the most nominated female in the history of the honors. The Recording Industry Association of America acknowledged her as the Top Certified Artist in the United States throughout the 2000s. In 2009, Billboard designated her as the Top Radio Songs Artist of the Decade, the Top Female Artist of the 2000s, and in 2011, they honored her as their Artist of the Millennium. Time featured her in the list of the 100 most influential individuals globally in both 2013 and 2014. ••Forbes•• magazine also recognized her as the most influential female music artist of 2015.']",What magazine named Beyoncé as the most powerful female musician for 2015?,Which publication recognized Beyoncé as the most influential female musician for the year 2015?,Forbes,FALSE
56be8a583aeaaa14008c9097,Beyoncé,"[""Beyoncé attended St. Mary's Elementary School in Fredericksburg, Texas, where she enrolled in dance classes. Her singing talent was discovered when dance instructor Darlette Johnson began humming a song and she finished it, able to hit the high-pitched notes. Beyoncé's interest in music and performing continued after winning a school talent show at age seven, singing John Lennon's Imagine to beat 15/16-year-olds. In fall of 1990, Beyoncé enrolled in Parker Elementary School, a music magnet school in ••Houston••, where she would perform with the school's choir. She also attended the High School for the Performing and Visual Arts and later Alief Elsik High School. Beyoncé was also a member of the choir at St. John's United Methodist Church as a soloist for two years.""]","[""Beyoncé attended St. Mary's Elementary School located in Fredericksburg, Texas, where she participated in dance lessons. Her vocal ability was recognized when dance teacher Darlette Johnson started humming a melody and she completed it, capable of reaching the high notes. Beyoncé's passion for music and performance persisted after winning a talent competition at school at the age of seven, singing John Lennon's Imagine to outperform individuals aged 15 and 16. In the autumn of 1990, Beyoncé enrolled in Parker Elementary School, a music-focused institution in ••Houston••, where she would sing with the school's choir. She also went to the High School for the Performing and Visual Arts and subsequently attended Alief Elsik High School. Additionally, Beyoncé was part of the choir at St. John's United Methodist Church, serving as a soloist for two years.""]",Beyonce moved to which town after she left her first elementary school?,In which city did Beyonce relocate after leaving her initial elementary school?,Houston,FALSE
56d45abf2ccc5a1400d830e6,Beyoncé,"[""At age eight, Beyoncé and childhood friend Kelly Rowland met LaTavia Roberson while in an audition for an all-girl entertainment group. They were placed into a group with three other girls as ••Girl's Tyme••, and rapped and danced on the talent show circuit in Houston. After seeing the group, R&B producer Arne Frager brought them to his Northern California studio and placed them in Star Search, the largest talent show on national TV at the time. Girl's Tyme failed to win, and Beyoncé later said the song they performed was not good. "", ""In 1995 Beyoncé's father resigned from his job to manage the group. The move reduced Beyoncé's family's income by half, and her parents were forced to move into separated apartments. Mathew cut the original line-up to four and the group continued performing as an opening act for other established R&B girl groups. The girls auditioned before record labels and were finally signed to Elektra Records, moving to Atlanta Records briefly to work on their first recording, only to be cut by the company. This put further strain on the family, and Beyoncé's parents separated. On October 5, 1995, Dwayne Wiggins's Grass Roots Entertainment signed the group. In 1996, the girls began recording their debut album under an agreement with Sony Music, the Knowles family reunited, and shortly after, the group got a contract with Columbia Records.""]","[""At the age of eight, Beyoncé and her childhood companion Kelly Rowland encountered LaTavia Roberson during an audition for an all-female entertainment ensemble. They were placed into a collective with three additional girls named ••Girl's Tyme••, and they performed rap and dance routines on the talent show circuit in Houston. After witnessing the group, R&B producer Arne Frager invited them to his studio in Northern California and entered them into Star Search, the largest talent competition on national television at that time. Girl's Tyme did not succeed in winning, and Beyoncé later remarked that the song they showcased was subpar."", ""In 1995, Beyoncé's father stepped down from his position to oversee the group. This decision halved Beyoncé's family's earnings, prompting her parents to move into separate residences. Mathew reduced the initial line-up to four members, and the group continued to perform as an opening act for other notable R&B girl groups. The girls auditioned in front of record labels and ultimately signed with Elektra Records, briefly shifting to Atlanta Records to work on their initial recording, only to be dropped by the label. This created additional pressure on the family, leading to Beyoncé's parents' separation. On October 5, 1995, Dwayne Wiggins's Grass Roots Entertainment signed the ensemble. By 1996, the girls started recording their first album under a contract with Sony Music, the Knowles family reconciled, and soon thereafter, the group secured a deal with Columbia Records.""]",What was the name of the first group Beyoncé was a part of?,What was the title of the initial group that Beyoncé joined?,Girl's Tyme,FALSE
56d45fcb2ccc5a1400d830fd,Beyoncé,"[""The group changed their name to Destiny's Child in 1996, based upon a passage in the Book of Isaiah. In 1997, Destiny's Child released their major label debut song Killing Time on the soundtrack to the 1997 film, Men in Black. The following year, the group released their self-titled debut album, scoring their first major hit No, No, No. The album established the group as a viable act in the music industry, with moderate sales and winning the group three Soul Train Lady of Soul Awards for Best R&B/Soul Album of the Year, Best R&B/Soul or Rap New Artist, and Best R&B/Soul Single for No, No, No. "", ""The group released their multi-platinum second album The Writing's on the Wall in 1999. The record features some of the group's most widely known songs such as Bills, Bills, Bills, the group's first number-one single, Jumpin' Jumpin' and Say My Name, which became their most successful song at the time, and would remain one of their signature songs. Say My Name won the Best R&B Performance by a Duo or Group with Vocals and the Best R&B Song at the 43rd Annual Grammy Awards. The Writing's on the Wall sold more than eight million copies worldwide. During this time, Beyoncé recorded a duet with ••Marc Nelson••, an original member of Boyz II Men, on the song After All Is Said and Done for the soundtrack to the 1999 film, The Best Man.""]","[""The ensemble altered their name to Destiny's Child in 1996, derived from a verse in the Book of Isaiah. In 1997, Destiny's Child launched their significant label debut track Killing Time as part of the soundtrack for the 1997 movie, Men in Black. The subsequent year, the ensemble released their self-titled debut album, achieving their initial major success with No, No, No. This album solidified the group as a credible act in the music scene, enjoying moderate sales and earning them three Soul Train Lady of Soul Awards for Best R&B/Soul Album of the Year, Best R&B/Soul or Rap New Artist, and Best R&B/Soul Single for No, No, No."", ""The ensemble debuted their multi-platinum second album The Writing's on the Wall in 1999. The album includes some of the group's most famous tracks like Bills, Bills, Bills, which was their first number-one hit, along with Jumpin' Jumpin' and Say My Name, which turned out to be their most prosperous track at that time, and would remain one of their iconic songs. Say My Name earned the accolades for Best R&B Performance by a Duo or Group with Vocals and Best R&B Song at the 43rd Annual Grammy Awards. The Writing's on the Wall achieved sales of over eight million copies globally. During this period, Beyoncé collaborated on a duet with Marc Nelson, an original member of Boyz II Men, performing the track After All Is Said and Done for the soundtrack to the 1999 movie, The Best Man.""]","Who did Beyoncé sing a duet with for ""The Best Man"" film?",With whom did Beyoncé collaborate on a duet for the film 'The Best Man'?,Marc Nelson,FALSE
56be8e353aeaaa14008c90c6,Beyoncé,"[""The remaining band members recorded ••Independent Women Part I••, which appeared on the soundtrack to the 2000 film, Charlie's Angels. It became their best-charting single, topping the U.S. Billboard Hot 100 chart for eleven consecutive weeks. In early 2001, while Destiny's Child was completing their third album, Beyoncé landed a major role in the MTV made-for-television film, Carmen: A Hip Hopera, starring alongside American actor Mekhi Phifer. Set in Philadelphia, the film is a modern interpretation of the 19th century opera Carmen by French composer Georges Bizet. When the third album Survivor was released in May 2001, Luckett and Roberson filed a lawsuit claiming that the songs were aimed at them. "", 'The album debuted at number one on the U.S. Billboard 200, with first-week sales of 663,000 copies sold. The album spawned other number-one hits, Bootylicious and the title track, Survivor, the latter of which earned the group a Grammy Award for Best R&B Performance by a Duo or Group with Vocals. After releasing their holiday album 8 Days of Christmas in October 2001, the group announced a hiatus to further pursue solo careers.']","[""The other members of the band recorded ••Independent Women Part I••, which was included in the soundtrack of the 2000 movie, Charlie's Angels. It became their most successful single, reaching the top of the U.S. Billboard Hot 100 chart for eleven straight weeks. In the beginning of 2001, while Destiny's Child was finalizing their third album, Beyoncé secured a significant role in the MTV film made for TV, Carmen: A Hip Hopera, performing alongside American actor Mekhi Phifer. Set in Philadelphia, the film is a contemporary version of the 19th century opera Carmen by French composer Georges Bizet. When the third album Survivor was launched in May 2001, Luckett and Roberson initiated a lawsuit asserting that the songs were directed at them."", 'The album premiered at number one on the U.S. Billboard 200, with first-week sales of 663,000 units. The album also produced other chart-topping hits, Bootylicious and the title song, Survivor, the latter of which granted the group a Grammy Award for Best R&B Performance by a Duo or Group with Vocals. After launching their festive album 8 Days of Christmas in October 2001, the group declared a break to pursue individual careers more extensively.']","""Charlie's Angels"" featured which single from the band members?",Which single from the band members was part of the soundtrack for 'Charlie's Angels'?,Independent Women Part I,FALSE
56bf91c6a10cfb140055117f,Beyoncé,"['In ••November 2003••, she embarked on the Dangerously in Love Tour in Europe and later toured alongside Missy Elliott and Alicia Keys for the Verizon Ladies First Tour in North America. On February 1, 2004, Beyoncé performed the American national anthem at Super Bowl XXXVIII, at the Reliant Stadium in Houston, Texas. After the release of Dangerously in Love, Beyoncé had planned to produce a follow-up album using several of the left-over tracks. ', ""However, this was put on hold so she could concentrate on recording Destiny Fulfilled, the final studio album by Destiny's Child. Released on November 15, 2004, in the US and peaking at number two on the Billboard 200, Destiny Fulfilled included the singles Lose My Breath and Soldier, which reached the top five on the Billboard Hot 100 chart. Destiny's Child embarked on a worldwide concert tour, Destiny Fulfilled... and Lovin' It and during the last stop of their European tour, in Barcelona on June 11, 2005, Rowland announced that Destiny's Child would disband following the North American leg of the tour. The group released their first compilation album Number 1's on October 25, 2005, in the US and accepted a star on the Hollywood Walk of Fame in March 2006.""]","['In ••November 2003••, she initiated the Dangerously in Love Tour across Europe and subsequently performed alongside Missy Elliott and Alicia Keys for the Verizon Ladies First Tour in North America. On February 1, 2004, Beyoncé sang the American national anthem at Super Bowl XXXVIII, held at the Reliant Stadium in Houston, Texas. Following the launch of Dangerously in Love, Beyoncé intended to create a subsequent album with several unused tracks. ', ""However, this was postponed so she could focus on recording Destiny Fulfilled, the ultimate studio album by Destiny's Child. Released on November 15, 2004, in the US and achieving a peak position of number two on the Billboard 200, Destiny Fulfilled featured the singles Lose My Breath and Soldier, which climbed into the top five on the Billboard Hot 100 chart. Destiny's Child kicked off a global concert tour, Destiny Fulfilled... and Lovin' It, and during the final stop of their European tour, in Barcelona on June 11, 2005, Rowland revealed that Destiny's Child would dissolve following the North American leg of the tour. The group launched their inaugural compilation album Number 1's on October 25, 2005, in the US and received a star on the Hollywood Walk of Fame in March 2006.""]",In what year did Beyonce embark on her Dangerously in Love tour of Europe?,In which year did Beyoncé start her Dangerously in Love tour in Europe?,Nov-03,FALSE
56d4baf92ccc5a1400d8317e,Beyoncé,"['In November 2003, she embarked on the Dangerously in Love Tour in Europe and later toured alongside Missy Elliott and Alicia Keys for the Verizon Ladies First Tour in North America. On February 1, 2004, Beyoncé performed the American national anthem at ••Super Bowl XXXVIII••, at the Reliant Stadium in Houston, Texas. After the release of Dangerously in Love, Beyoncé had planned to produce a follow-up album using several of the left-over tracks. ', ""However, this was put on hold so she could concentrate on recording Destiny Fulfilled, the final studio album by Destiny's Child. Released on November 15, 2004, in the US and peaking at number two on the Billboard 200, Destiny Fulfilled included the singles Lose My Breath and Soldier, which reached the top five on the Billboard Hot 100 chart. Destiny's Child embarked on a worldwide concert tour, Destiny Fulfilled... and Lovin' It and during the last stop of their European tour, in Barcelona on June 11, 2005, Rowland announced that Destiny's Child would disband following the North American leg of the tour. The group released their first compilation album Number 1's on October 25, 2005, in the US and accepted a star on the Hollywood Walk of Fame in March 2006.""]","['In November 2003, she initiated the Dangerously in Love Tour across Europe and subsequently performed alongside Missy Elliott and Alicia Keys for the Verizon Ladies First Tour in North America. On February 1, 2004, Beyoncé delivered the American national anthem at ••Super Bowl XXXVIII••, held at the Reliant Stadium in Houston, Texas. Following the launch of Dangerously in Love, Beyoncé intended to create a sequel album utilizing several of the remaining tracks. ', ""Nevertheless, this was postponed so she could focus on recording Destiny Fulfilled, the final studio album by Destiny's Child. Released on November 15, 2004, in the United States and reaching number two on the Billboard 200, Destiny Fulfilled featured the hits Lose My Breath and Soldier, both of which climbed to the top five on the Billboard Hot 100 chart. Destiny's Child commenced a global concert tour, Destiny Fulfilled... and Lovin' It, and during the final stop of their European tour in Barcelona on June 11, 2005, Rowland declared that Destiny's Child would dissolve following the North American portion of the tour. The group launched their first compilation album Number 1's on October 25, 2005, in the US and received a star on the Hollywood Walk of Fame in March 2006.""]","What major event did Beyoncé perform at on February 1, 2004?","What significant occasion did Beyoncé sing at on February 1, 2004?",Super Bowl XXXVIII,FALSE
56be95823aeaaa14008c910f,Beyoncé,"[""On April 4, 2008, Beyoncé married Jay Z. She publicly revealed their marriage in a video montage at the listening party for her third studio album, I Am... Sasha Fierce, in Manhattan's Sony Club on October 22, 2008. I Am... Sasha Fierce was released on November 18, 2008 in the United States. The album formally introduces Beyoncé's alter ego Sasha Fierce, conceived during the making of her 2003 single Crazy in Love, selling 482,000 copies in its first week, debuting atop the Billboard 200, and giving Beyoncé her third consecutive number-one album in the US. "", ""The album featured the number-one song Single Ladies (Put a Ring on It) and the top-five songs If I Were a Boy and Halo. Achieving the accomplishment of becoming her longest-running Hot 100 single in her career, Halo's success in the US helped Beyoncé attain more top-ten singles on the list than any other woman during the 2000s. It also included the successful Sweet Dreams, and singles Diva, Ego, Broken-Hearted Girl and Video Phone. The music video for Single Ladies has been parodied and imitated around the world, spawning the first major dance craze of the Internet age according to the Toronto Star. The video has won several awards, including Best Video at the 2009 MTV Europe Music Awards, the 2009 Scottish MOBO Awards, and the 2009 BET Awards. At the 2009 MTV Video Music Awards, the video was nominated for nine awards, ultimately winning three including Video of the Year. "", ""Its failure to win the Best Female Video category, which went to American country pop singer ••Taylor Swift••'s You Belong with Me, led to Kanye West interrupting the ceremony and Beyoncé improvising a re-presentation of Swift's award during her own acceptance speech. In March 2009, Beyoncé embarked on the I Am... World Tour, her second headlining worldwide concert tour, consisting of 108 shows, grossing $119.5 million.""]","[""On April 4, 2008, Beyoncé entered into matrimony with Jay Z. She made their union public in a video compilation at the release event for her third studio album, I Am... Sasha Fierce, held at Manhattan's Sony Club on October 22, 2008. I Am... Sasha Fierce debuted in the United States on November 18, 2008. The album formally introduces Beyoncé's alter persona Sasha Fierce, which was developed during the production of her 2003 hit Crazy in Love, selling 482,000 copies in its opening week, debuting at the top of the Billboard 200, and marking Beyoncé's third consecutive number-one album in the US. "", ""The album included the chart-topping track Single Ladies (Put a Ring on It) as well as the top-five hits If I Were a Boy and Halo. Achieving the distinction of being her longest-lasting Hot 100 single throughout her career, Halo's success in the US enabled Beyoncé to secure more top-ten singles on the chart than any other female artist during the 2000s. Additionally, it featured the popular Sweet Dreams, along with singles Diva, Ego, Broken-Hearted Girl, and Video Phone. The music video for Single Ladies has been spoofed and replicated worldwide, initiating the first significant dance trend of the Internet era, as noted by the Toronto Star. The video earned multiple accolades, including Best Video at the 2009 MTV Europe Music Awards, the 2009 Scottish MOBO Awards, and the 2009 BET Awards. During the 2009 MTV Video Music Awards, the video received nine nominations, ultimately winning three, including Video of the Year. "", ""Its inability to secure the Best Female Video award, which was won by American country pop artist ••Taylor Swift•• for her song You Belong with Me, resulted in Kanye West disrupting the ceremony and Beyoncé improvising a re-presentation of Swift's award during her own acceptance address. In March 2009, Beyoncé kicked off the I Am... World Tour, her second global concert series, consisting of 108 performances and generating $119.5 million in revenue.""]",Which singer beat out Beyonce for best video performance?,Which artist outperformed Beyonce for the best video accolade?,Taylor Swift,FALSE
